-ability|-ibility|-bility,名詞,能力
-able|-ible|-ble,形容詞,能力
-ably|-ibly|-bly,副詞,能力
-acy,名詞,性質、状態、職
-ade,名詞,動作、果実から出来る飲料
-age,名詞,集合、状態、動作
-al|-ial,形容詞、名詞,性質、～すること
-an,名詞,性質、～の、～人
-ance|-ancy,名詞,行動、状態、性質
-ant,形容詞、名詞,性質、～する人
-ar,形容詞、名詞,性質、～する人
-arch,名詞,支配者・君主
-archy,名詞,政体
-ard,名詞,大いに～する人
-arian,形容詞、名詞,～派の(人)、 ～主義の(人)、 ～歳の(人)
-ary,名詞,関係のある
-aster,名詞,軽蔑
-ate,動詞、形容詞、名詞,～する、～させる、～のある、～の職
-ation,名詞,行動、状態、結果
-ative,形容詞,傾向、性質、関係
-ce|-se,名詞, 
-cide,名詞,殺し
-cle|-cule|-ule,名詞,小さな・個々
-cracy,名詞,政体・支配
-craft,名詞,技術・才能・職・乗り物
-crat,名詞,主義の人
-cum-,名詞,前後の単語を複合する
-cy,名詞,職・身分・性質・状態
-dom,形容詞、名詞,勢力範囲、状態、社会、気質
-drome,名詞,施設
-ed,過去形、過去分詞, 
-en|-n,形容詞,性質、材質
-ence,名詞, 
-ency,名詞, 
-ent,形容詞、名詞,性質・状態・行為者
-er|-ee|-eer|-yer,名詞,人、物
-er (2),比較級, 
-er (3),動詞,反復・擬音の動詞を作る
-ern,形容詞,方向
-ery|-ry,名詞,性質・慣習・職
-esce,動詞,～し始める・～化する
-escent,形容詞,～期の・～性の・～し始める
-ese,形容詞/名詞,国の、地方の
-esque,形容詞,～様式の
-ess,名詞,女性名詞を作る
-est,最上級, 
-ette,名詞,小さい、女性の 代用品の
-fic,形容詞,～化する
-fication,名詞,～化
-fold,形容詞/副詞,～倍の、～重の
-form|-iform,形容詞,～形の
-free,形容詞,～のない
-ful,形容詞,満ちている
-fy,動詞,～化する
-gamy,名詞,結婚
-gate,動詞, 
-gen,名詞,発生
-gon,名詞,多角形
-gram|-graph|-graphy,名詞,書いたもの
-handed,名詞/副詞,手、手法、人数
-hood,名詞,状態/職業/身分
-i,形容詞,中東の国々の形容詞を作る
-ian,名詞, 
-ic|-ical,形容詞,性質
-ically,副詞,性質
-ice,名詞,性質
-ician,名詞,職・人
-ics,名詞,学問
-id,形容詞,性質
-ie|-y,名詞,親愛
-ier|-yer,名詞,～する者
-ify|-fy,動詞,～化する
-ile,形容詞、名詞,関係
-in|-ine,名詞,元素名・塩基名
-ing,現在分詞/動名詞, 
-ion,名詞,動作・状態
-ior|-iour,形容詞・名詞, 
-ish,形容詞・動詞,性質・状態・属性
-ism,名詞,主義/行為
-ist,名詞,主義者/行為者
-ite,形容詞・名詞,属性・化学
-itis,名詞,炎症・熱
-ity,名詞,状態/性質
-ium,名詞,状態・元素
-ive|-itive,形容詞,傾向・性質
-ization|-isation,名詞, 
-ize|-ise,動詞,～化する
-le,名詞・動詞,小さい・人・反復
-less,形容詞,～ない/出来ない
-let,名詞,小さな/飾り
-like,形容詞,～のような/～らしい
-ling,名詞,属性・小さい
-log|-logue,名詞,談話・言葉
-logical,形容詞,～学の
-logist,名詞,～学者
-logy|-ology,名詞,～学
-looking,形容詞,～に見える
-ly,副詞/形容詞, 
-lysis,名詞,分解
-man|-men|-person,名詞,属性・身分・職業
-mancy,名詞,占い
-mania,名詞,熱狂
-manship,名詞,才能・技能
-ment,名詞,動作/結果/状態手段
-meter,名詞,計測
-metry,名詞,計測・学問
-most,名詞,最も
-ness,名詞,性質/状態
-nik,名詞,属性
-nomy|-onomy,名詞,～学
-ock,名詞,小さい
-oid,形容詞,～のような
-or|-our|-tor,名詞,～する人/動作/性質/状態
-ory,形容詞、名詞,～ような・性質・場所
-ose,形容詞,～の多い/～性の
-osis,名詞,状態・変化・病名
-osity,名詞,性質
-ous|-eous,形容詞,～の多い/～性の
-pathy,名詞,苦痛・感情・療法
-phile|-phil|-philia,名詞,～を(病的に)好む者
-philiac,形容詞・名詞,～を(病的に)好む者(の)
-phobe|-phobia,名詞,～を(病的に)を恐れる者・恐怖症
-phone|-phony,名詞,音
-ple,形容詞,倍・重
-proof,形容詞,耐性・～を通さない
-red,名詞,状態
-rel|-erel,名詞,小さい
-s,名詞複数形, 
-scape,名詞,～の風景
-scope,名詞,～を見る機械
-self|-selves,再帰代名詞,自身
-ship,名詞,状態/身分/能力 関係
-some,形容詞,性質・傾向・状態
-speak,名詞,～用語
-sphere,名詞,球
-ster,名詞,人
-th|-eth,名詞/形容詞,序数を作る・抽象名詞を作る
-tion,名詞,動作・状態・結果
-tious,形容詞,動作・状態・結果
-tude|-itude,名詞,性質・状態
-ty,名詞,性質・状態・程度
-ular,形容詞,～の様な
-ulous,形容詞,～の傾向のある
-ure,名詞,動作・過程・結果・存在
-ward|-wards|-ways,形容詞・副詞,～の方へ(の)
-wide,形容詞・副詞,全体にわたって(わたる)
-wise,形容詞/副詞,～のように
-worthy,形容詞,～に値する
-y|-ey,形容詞, 
-y (2),名詞,抽象名詞を作る