be,was| were,been
bear,bore,borne
beat,beat,beaten
become,became,become
begin,began,begun
bite,bit,bitten
blow,blew,blown
break,broke,broken
bring,brought,brought
build,built,built
burn,burnt,burnt
buy,bought,bought
catch,caught,caught
choose,chose,chosen
come,came,come
cost,cost,cost
cut,cut,cut
dig,dug,dug
do,did,done
draw,drew,drawn
drink,drank,drunk
drive,drove,driven
eat,ate,eaten
fall,fell,fallen
feed,fed,fed
feel,felt,felt
fight,fought,fought
find,found,found
forget,forgot,forgotten|forgot
get,got,gotten| got
give,gave,given
go,went,gone
grow,grew,grown
hang,hung,hung
have,had,had
hear,heard,heard
hit,hit,hit
hold,held,held
hurt,hurt,hurt
keep,kept,kept
know,knew,known
lay,laid,laid
lead,led,led
leave,left,left
lend,lent,lent
let,let,let
lie,lay,lain
lose,lost,lost
make,made,made
mean,meant,meant
meet,met,met
overtake,overtook,overtaken
pay,paid,paid
put,put,put
read,read,read
ride,rode,ridden
ring,rang,rung
rise,rose,risen
run,ran,run
say,said,said
see,saw,seen
sell,sold,sold
send,sent,sent
set,set,set
shake,shook,shaken
shoot,shot,shot
show,showed,shown
shut,shut,shut
sing,sang,sung
sink,sank,sunk
sit,sat,sat
sleep,slept,slept
speak,spoke,spoken
spend,spent,spent
spread,spread,spread
stand,stood,stood
steal,stole,stolen
sweep,swept,swept
swim,swam,swum
take,took,taken
teach,taught,taught
tell,told,told
think,thought,thought
throw,threw,thrown
understand,understood,understood
wake,woke,woken
wear,wore,worn
win,won,won
write,wrote,written